MonthlyIncome,MonthlyRate,DailyRate,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager,StockOptionLevel,JobSatisfaction,EnvironmentSatisfaction,JobLevel,TrainingTimesLastYear,YearsSinceLastPromotion,JobInvolvement,RelationshipSatisfaction,WorkLifeBalance,Education
6553,7259,1261,14,1,0,0,0,2,3,2,3,0,3,2,3,4
6261,4185,1084,9,7,7,7,1,3,3,2,3,1,3,1,1,3
4298,9679,472,6,2,2,0,1,0,2,2,1,2,2,3,3,1
6804,23793,1002,7,7,7,7,2,3,3,2,0,1,3,1,3,4
3815,5972,878,5,5,3,0,1,2,3,1,4,2,3,4,4,4
2741,16523,905,15,7,2,7,1,3,2,2,2,3,3,3,4,2
6673,11354,1180,17,1,0,0,0,0,1,2,2,0,3,2,3,1
7639,24525,121,10,10,4,9,3,3,1,3,3,1,3,4,2,3
2328,12392,1136,4,4,2,2,1,1,3,1,2,2,4,1,2,3
2153,7703,635,8,8,1,7,0,3,1,1,2,1,3,1,3,1
4876,14242,1151,5,3,2,2,1,3,3,2,5,0,2,4,1,5
9396,12368,644,17,4,2,3,1,0,3,3,3,0,3,3,3,4
10400,25812,1045,14,14,8,8,0,3,3,3,2,9,1,3,2,4
8474,20925,829,12,11,8,8,0,2,2,3,2,5,2,3,3,1
9981,12916,1242,7,7,7,7,0,2,3,2,2,0,3,4,3,3
12490,15736,1469,16,10,9,7,2,1,1,3,5,4,2,4,1,4
2657,8556,1005,8,5,2,4,0,0,3,1,5,0,3,3,3,3
13591,14674,896,16,1,0,0,0,3,3,3,3,0,3,3,3,3
6696,22967,334,9,6,3,1,0,0,2,2,5,0,2,3,2,4
2058,19757,992,7,6,2,5,0,2,2,1,1,1,3,4,2,3
8865,16840,1052,23,19,7,8,0,3,3,3,2,12,2,4,3,3
5940,17011,1147,16,6,2,5,1,0,3,2,4,0,3,4,3,3
5914,9945,1396,16,13,11,7,0,1,3,2,3,3,3,4,4,2
2622,13248,147,7,3,2,1,0,1,2,1,3,1,2,4,3,4
12185,10056,663,10,10,8,7,3,3,1,3,1,0,3,3,3,3
10609,9647,119,17,16,10,13,2,2,0,3,6,5,3,3,2,3
4345,4381,979,6,5,4,4,1,2,2,2,2,1,1,4,3,4
2177,8456,142,7,1,0,0,1,3,2,1,6,0,2,1,3,3
2793,2539,319,13,9,8,8,1,3,0,1,2,5,3,3,3,4
7918,6599,1413,11,11,10,1,1,3,1,3,5,4,3,4,3,1
8789,9096,944,10,10,7,8,0,2,2,3,3,0,3,1,4,3
2389,14961,896,4,4,3,1,0,3,2,1,3,0,2,3,2,1
3212,3300,1323,6,2,2,2,0,3,2,1,3,2,2,2,2,3
19232,4933,532,22,22,17,15,0,3,2,5,3,11,3,4,3,2
2267,25657,818,7,2,2,2,0,2,1,1,2,2,3,4,2,2
19517,24118,854,32,7,0,6,1,3,3,5,3,0,3,3,2,4
2436,22149,813,8,5,4,4,1,3,2,1,2,0,3,3,1,3
16064,7744,1034,22,17,13,9,1,3,3,4,3,1,3,3,3,3
2707,21509,465,13,9,7,7,0,0,0,1,3,1,3,1,4,2
19068,21030,771,33,33,7,12,0,2,0,5,2,15,2,4,4,4
3931,20990,1401,6,4,3,2,1,1,2,1,5,1,3,1,3,2
3730,9571,515,4,3,2,2,0,2,3,1,2,1,2,4,1,3
2232,15417,1431,7,3,2,2,3,2,2,1,1,1,3,3,3,4
4465,12069,976,4,3,2,2,0,3,2,2,2,2,3,1,3,4
3072,19877,1411,17,1,0,0,2,0,2,2,2,0,3,1,2,2
3319,24447,1300,9,9,8,7,2,3,0,2,3,4,3,1,3,2
19202,15970,252,25,24,0,7,1,3,2,5,2,1,4,3,3,3
13675,13523,1327,9,2,2,2,1,2,1,3,3,2,3,1,3,4
2911,14776,832,2,2,2,2,1,3,2,1,2,0,2,3,2,4
5957,23687,470,13,11,9,9,1,0,3,2,3,5,2,2,3,4
3920,18697,1017,17,3,1,2,1,0,2,1,2,0,2,1,2,2
6434,5118,1199,9,3,2,2,1,2,0,2,1,0,4,4,3,4
10048,22573,504,17,1,0,0,2,2,0,3,5,0,3,2,3,3
10938,6420,505,20,19,6,8,0,2,2,3,1,11,3,4,3,4
2340,22673,665,6,6,5,5,0,3,2,1,1,1,3,1,3,3
6545,23016,916,10,3,2,2,0,0,3,2,1,0,4,3,3,2
6931,10732,1247,10,3,2,2,1,3,3,2,2,0,3,4,3,2
4898,7505,685,5,4,2,2,2,2,0,2,3,1,3,4,3,3
2593,8007,269,10,9,6,8,1,0,3,1,4,7,2,3,3,3
19436,5949,1416,22,21,7,9,1,2,0,5,5,3,3,4,3,2
2723,23231,833,1,1,0,0,0,3,2,1,0,0,3,2,2,3
3479,11652,307,6,5,4,4,0,1,2,1,2,1,2,2,4,2
2794,26062,1311,5,5,1,3,0,1,1,1,3,0,4,3,1,3
5249,19682,1327,13,8,7,5,1,3,3,2,0,7,2,4,3,2
2176,19737,128,9,6,2,4,0,0,3,2,5,0,2,4,3,1
16872,14977,488,28,7,7,7,1,1,2,4,2,7,1,2,2,3
3485,14935,529,5,0,0,0,0,2,0,1,5,0,3,3,1,4
6644,3687,1210,10,0,0,0,2,1,0,2,2,0,2,2,3,3
5582,14408,1463,10,9,0,8,1,3,1,2,2,7,2,2,3,3
4000,18384,675,6,6,3,5,2,0,1,2,2,1,4,4,3,2
13496,7501,1385,21,20,7,10,0,3,2,4,2,4,3,2,3,2
3210,20251,1403,16,15,13,11,1,3,3,1,4,10,3,3,3,3
19045,18938,452,37,36,10,13,0,0,3,5,2,4,3,3,3,3
11849,10268,666,10,10,7,9,1,1,0,3,2,9,3,4,2,4
2070,2613,1158,5,5,2,4,1,3,3,1,3,0,3,4,2,3
6502,22825,228,7,5,4,1,1,3,2,2,5,0,3,2,4,4
3230,10531,996,3,3,2,0,0,2,3,1,4,1,2,1,4,2
13603,11677,728,15,5,2,2,2,3,0,3,2,0,3,1,3,4
11996,19100,1315,10,7,7,2,1,1,1,3,6,6,4,2,2,3
5605,19191,322,8,8,0,7,1,0,0,2,3,7,4,3,3,2
6397,26767,1479,6,6,5,4,1,1,2,2,6,1,3,1,1,3
19144,15815,797,28,10,4,6,2,1,0,5,4,1,3,1,2,1
17584,21016,1070,21,5,3,3,3,2,2,4,5,1,3,4,2,4
4907,24532,635,20,20,16,6,0,2,1,2,3,11,3,3,3,1
4554,20260,442,10,10,7,9,0,3,1,2,3,0,3,1,2,2
5415,15972,147,12,10,7,8,1,3,1,2,4,0,3,4,3,2
4741,22722,496,5,5,3,3,1,0,0,2,3,3,3,3,3,2
2115,15881,1372,17,17,12,7,0,3,3,1,3,5,3,2,3,3
3161,19920,920,19,1,0,0,1,2,3,1,0,0,3,4,1,3
5745,18899,688,10,2,2,2,1,3,3,2,2,1,3,2,3,4
2373,14180,1449,5,3,2,2,1,1,0,1,2,0,3,4,3,4
3310,4488,1117,5,5,3,2,0,3,3,1,3,0,3,4,3,2
18665,25594,636,22,3,2,2,0,0,2,5,4,1,3,4,3,4
4485,26285,506,10,8,0,7,0,1,2,2,2,7,3,4,3,3
2789,3909,444,2,2,2,2,1,1,3,1,5,2,3,3,2,3
5828,8450,950,8,8,7,4,0,3,3,2,0,7,2,2,3,4
2326,11411,889,4,4,2,2,3,3,1,1,3,1,3,3,2,3
13525,14864,555,23,20,4,8,1,1,2,4,2,4,3,4,4,3
1420,25233,230,0,0,0,0,0,2,2,1,2,0,3,3,3,3
8020,5100,1232,12,11,9,9,2,1,2,3,3,6,3,3,2,3
3688,7122,566,4,1,0,0,2,3,2,1,2,0,4,4,3,4
5482,16321,1302,13,4,1,2,1,1,3,2,3,1,1,4,3,3
16015,15896,334,22,22,10,4,0,1,3,4,2,0,3,2,3,4
1200,9724,812,0,0,0,0,0,2,3,1,2,0,2,1,3,3
5661,4824,1476,9,8,3,7,0,0,1,2,2,0,4,3,3,2
6929,12241,218,10,8,7,7,1,3,1,2,3,7,4,2,2,3
9613,10942,1132,19,18,10,7,3,3,2,3,5,3,4,1,2,3
5674,6927,1105,11,9,8,8,1,1,1,2,3,0,3,3,3,4
5484,16985,906,13,13,8,8,1,2,3,2,3,4,2,3,2,3
12061,26707,849,19,10,8,1,1,1,0,3,2,0,2,3,3,2
5660,17056,390,12,5,3,2,1,2,3,2,2,1,1,4,3,4
4821,10077,691,6,5,2,3,1,3,2,1,4,0,3,3,3,4
6410,17822,106,9,2,2,0,0,0,0,2,1,1,2,4,3,3
5210,20308,1249,24,24,9,11,1,0,0,3,2,9,3,1,3,3
2695,7747,192,3,2,2,2,1,3,2,1,2,2,3,2,1,4
11878,23364,553,12,10,6,8,2,1,3,3,2,8,3,2,3,4
17068,5355,117,21,21,9,10,0,0,2,4,3,11,3,4,3,1
2455,10675,185,9,8,7,7,0,3,2,1,5,1,3,1,3,4
13964,17810,1091,25,7,1,7,0,2,2,4,2,0,2,4,3,2
4941,17747,723,11,8,2,7,0,1,2,2,3,7,2,1,2,4
2478,20938,1220,4,4,3,2,0,1,2,1,2,1,3,2,2,3
5228,24624,588,13,13,12,9,0,1,2,2,2,11,2,4,3,2
4478,5242,1377,5,5,4,4,0,2,3,2,3,0,3,1,3,3
7547,7143,691,13,7,7,7,3,3,3,2,3,1,3,4,3,3
5055,10557,1018,10,7,7,7,0,3,0,2,0,0,4,3,2,4
3464,24737,1157,5,3,2,2,0,3,0,1,4,2,1,4,2,4
5775,11934,1275,11,10,8,9,2,3,3,2,2,1,3,4,3,2
8943,14034,798,10,10,9,9,1,2,2,3,2,8,2,1,3,2
19272,21141,672,21,21,9,3,1,3,2,5,2,13,2,1,3,2
5238,17778,1162,12,1,0,0,0,2,3,2,3,0,3,1,2,2
4682,4317,508,9,7,7,1,0,3,1,2,6,0,2,3,2,3
18300,16375,1482,21,3,2,1,1,2,3,5,2,1,3,2,3,5
5257,6227,559,9,9,7,0,1,2,2,2,3,0,2,2,4,4
6349,22107,210,6,5,4,4,1,1,2,2,0,1,3,4,3,1
4869,16885,928,20,4,3,3,0,2,3,2,4,0,3,4,2,4
9985,9262,1001,10,1,0,0,1,0,2,3,1,0,3,1,2,3
3697,9278,549,12,10,9,8,2,3,3,2,3,9,3,1,3,4
7457,13273,1124,6,4,3,2,3,3,1,2,2,0,1,3,2,2
2119,4759,318,7,7,7,7,0,0,1,1,4,0,1,4,2,4
3983,7621,738,4,3,2,2,0,3,1,1,2,2,2,3,3,5
6118,5431,570,10,10,9,2,3,2,3,2,2,1,2,3,3,3
6214,3415,1130,8,8,7,7,1,1,1,2,3,0,3,1,3,4
6347,23177,1192,8,6,2,4,2,3,3,2,2,0,3,3,2,2
11510,15682,343,12,11,10,9,1,3,2,3,3,2,2,2,3,2
7143,25713,1232,11,11,9,10,0,3,2,3,2,4,3,3,2,4
8268,11866,144,7,7,7,7,2,1,3,2,2,1,2,1,3,1
8095,18264,1296,17,16,6,13,0,1,2,3,5,0,3,4,3,4
2904,16092,1309,4,4,2,2,2,3,2,1,2,0,3,3,2,1
6032,10110,483,8,5,4,2,0,1,3,2,3,1,2,4,3,3
2976,25751,1309,5,0,0,0,0,2,1,2,3,0,3,1,3,1
15992,15901,810,16,1,0,0,0,3,0,4,2,0,3,2,3,5
4649,16928,746,4,4,3,2,1,2,3,2,3,0,3,1,2,3
2696,24017,544,4,3,2,0,1,2,2,1,5,1,3,3,3,1
2370,3956,1062,8,8,0,7,1,1,2,1,4,0,3,3,3,3
12504,23978,530,15,0,0,0,1,2,0,3,3,0,3,2,1,1
5974,17001,1319,13,7,7,7,2,0,2,2,2,6,4,1,3,3
4736,6069,641,4,2,2,2,1,2,3,2,2,2,3,2,4,2
5296,20156,933,8,8,7,7,1,2,2,2,3,7,3,2,3,3
6781,17078,1332,14,1,0,0,0,3,0,2,6,0,2,2,3,4
2174,9150,756,3,3,2,2,0,1,0,1,3,1,2,3,3,1
6653,15276,845,7,1,0,0,0,3,3,2,6,0,3,2,3,5
9699,7246,541,16,13,9,12,1,3,0,3,2,1,2,1,3,4
6755,2967,593,15,3,2,2,0,2,3,2,2,1,3,3,3,4
2213,22495,1171,10,7,7,7,1,2,3,1,3,1,4,3,3,4
2610,2851,895,3,3,2,2,0,3,0,1,3,2,3,3,2,2
2851,9150,350,1,1,0,0,0,2,3,1,2,0,3,2,3,3
3452,17663,921,17,5,4,3,1,0,2,1,3,0,3,2,3,3
5258,16044,1144,7,1,0,0,0,2,2,2,2,0,3,3,4,4
9355,9558,143,8,8,7,7,0,1,0,2,5,7,3,3,3,3
10496,2755,1046,20,4,3,3,0,3,3,3,2,1,2,4,3,3
6380,6110,575,8,6,4,0,2,2,2,2,6,1,2,1,3,2
2657,7551,408,3,2,2,2,0,1,2,1,5,2,2,4,3,4
2716,25422,156,1,1,0,0,0,1,2,1,0,0,4,4,3,3
2201,18168,1283,6,3,2,2,0,3,3,1,4,1,3,4,3,3
6540,19394,755,10,1,1,0,0,1,2,2,5,0,2,3,3,4
3816,17881,1469,5,5,2,4,1,1,3,1,2,0,3,2,3,2
5253,20750,304,7,7,5,7,0,3,1,2,1,0,3,4,3,4
